OBJECTID,Project Address,Development Site Square Feet,Permit Number,Master User Permit Number,Permit Stage,Type of Permit,New Units Permitted,Demolished Units Permitted,Net Units Permitted,Sleeping Rooms Permitted,Permit Value,Type of Dwelling Unit,Type of Dwelling Unit per Code,Description of Work,Application Date,Issued Date,Year Issued,Final Date,Year Finaled,VILLNUMB,Urban Village Name,Urban Village Type,Comp Plan Name,Comp Plan Type,Community Reporting Area Number,Community Reporting Area,Neighborhood,Council District,Census Block 2010,Census Block Group 2010,GEOID10,SOURCE,XCOORD_StatePlane,YCOORD_StatePlane,MAF_ID,DevSite_ID,RecordNumber,STATUS_COLOR,Longitude,Latitude,Expiration Date,Zoning All Zones,Zoning Primary Zone,Zoning Report Zone,Zoning Category,Zoning Class,Parent Construction Permit,GEOID20,Census Block 2020,Census Block Group 2020,Quarter Issued,Quarter and Year Issued,Quarter Final,Quarter and Year Final,Condo Parcel or Plat (Y/N),Most Recent Inspection Date,Most Recent Inspection Type,x,y
50,10110 DAYTON AVE N,3844,6125919,,Permit Finaled,Construction Permit,1,0,1,0,239970,ADU,"Accessory Dwelling, Attached","Alterations to existing single family residence (SFR), establish ADU and construct addition to SFR, per plans.",12/20/2007 12:00:00 AM,3/28/2008 12:00:00 AM,2008,8/26/2010 12:00:00 AM,2010,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.3,Greenwood/Phinney Ridge,Northwest,5,1701.3010,1701.3,530330017013010,ACC,1266370.92744,259926.57671,41989,DV0070863,6125919-CN,#001a73,-122.35253707,47.70246254,3/15/2011 12:00:00 AM,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330017013010,1701.3010,1701.3,1,2008_1,3,2010_3,N,8/26/2010 12:00:00 AM,Building Final,1266370.92747606,259926.576728806
55,10224 62ND AVE S,6022,6835111,,Permit Finaled,Construction Permit,1,0,1,0,304643,ADU,"Accessory Dwelling, Attached","Construct addition & substantial alterations, including converting basement level to attached accessory dwelling unit (AADU), to existing single family residence, per plan",9/28/2021 12:00:00 AM,12/22/2021 12:00:00 AM,2021,8/25/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.1,Rainier Beach,Southeast,2,11900.2010,11900.2,530330119002010,ACC,1288932.85,188923.1,211102,DV1190404,6835111-CN,#001a73,-122.25559423,47.50902483,12/22/2024 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330119021017,11902.1017,11902.1,4,2021_4,3,2023_3,N,8/25/2023 12:00:00 AM,Building Final,1288932.84987181,188923.09996964
57,1023 CALIFORNIA LN SW,17883,6851235,,Permit Finaled,Construction Permit,1,0,1,0,10000,ADU,"Accessory Dwelling, Attached","Construct alterations at existing lower level only of existing single family residence to add a kitchen and establish the lower level as an AADU (Attached Accessory Dwelling Unit), per plan",9/28/2021 12:00:00 AM,8/26/2022 12:00:00 AM,2022,6/5/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.4,Alki/Admiral,Southwest,1,9600.5019,9600.5,530330096005019,ACC,1256646.256,220270.521,146658,DV0053649,6851235-CN,#001a73,-122.38876831,47.59323515,2/26/2024 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330096002006,9600.2006,9600.2,3,2022_3,2,2023_2,N,6/2/2023 12:00:00 AM,Building Final,1256646.25598057,220270.520870462
58,10238 41ST AVE SW,6663,6858189,,Permit Finaled,Construction Permit,1,0,1,0,112729,ADU,"Accessory Dwelling, Attached","Construct alterations to existing single family residence and construct new AADU, per plan.  (Construct attached and detached accessory dwelling units for existing single family residence, per plan. Reviews and processing for two -CN's under 6858189.)",2/9/2022 12:00:00 AM,6/2/2022 12:00:00 AM,2022,11/17/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2011,12000.2,530330120002011,ACC,1257219.8576,190218.684,760515,DV1171383,6858189-CN,#001a73,-122.38399024,47.51089679,12/2/2023 12:00:00 AM,NR3,NR3,NR3,NR3,NR,,530330120002010,12000.2010,12000.2,2,2022_2,4,2022_4,Y,11/17/2022 12:00:00 AM,Building Final,1257219.85752365,190218.683992639
60,10240 40TH AVE SW,5419,6779930,3036453,Permit Finaled,Construction Permit,1,0,1,0,617299,ADU,"Accessory Dwelling, Attached","Establish use as and construct a single-family residence with an attached accessory dwelling unit (AADU) and a detached accessory dwelling unit (DADU), per plan.",7/13/2020 12:00:00 AM,2/15/2021 12:00:00 AM,2021,3/28/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,1.1,Arbor Heights,Southwest,1,12000.2010,12000.2,530330120002010,ACC,1257533.7395,190193.2556,754372,DV0344458,6779930-CN,#001a73,-122.38271835,47.51084443,8/15/2022 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330120002009,12000.2009,12000.2,1,2021_1,1,2022_1,Y,3/28/2022 12:00:00 AM,Building Final,1257533.73944181,190193.255565807
76,1015 NE 100TH ST,5120,6808363,,Permit Finaled,Construction Permit,2,0,2,0,562125,ADU,"Accessory Dwelling, Attached","Establish use as single family residence with attached accessory dwelling units and construct 3-unit townhouse, per plans.",1/13/2021 12:00:00 AM,9/8/2021 12:00:00 AM,2021,9/27/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,2000.2003,2000.2,530330020002003,ACC,1275148.5291,259254.1289,43054,DV0347999,6808363-CN,#001a73,-122.31684308,47.70108882,3/8/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020002006,2000.2006,2000.2,3,2021_3,3,2022_3,Y,9/27/2022 12:00:00 AM,Building Final,1275148.5290153,259254.128926724
84,102 W GARFIELD ST,3634,6753709,,Permit Finaled,Construction Permit,1,0,1,0,544899,ADU,"Accessory Dwelling, Attached","Establish use as and construct a single-family residence and an attached accessory dwelling unit, per plans",2/15/2020 12:00:00 AM,5/11/2020 12:00:00 AM,2020,3/8/2022 12:00:00 AM,2022,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,12.3,Queen Anne,Magnolia/Queen Anne,7,6800.2018,6800.2,530330068002018,ACC,1264381.75,234873.238,119422,DV1105805,6753709-CN,#001a73,-122.35859754,47.63368477,11/11/2021 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330068002014,6800.2014,6800.2,2,2020_2,1,2022_1,N,3/8/2022 12:00:00 AM,Building Final,1264381.75002398,234873.238056049
90,10221 59TH AVE S,10424,6122958,,Permit Finaled,Construction Permit,1,0,1,0,3000,ADU,"Accessory Dwelling, Attached",Alteration to existing basement to establish as accessory dwelling unit (ADU) in existing single family residence per plan.,2/9/2007 12:00:00 AM,2/9/2007 12:00:00 AM,2007,5/8/2008 12:00:00 AM,2008,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,4.1,Rainier Beach,Southeast,2,11900.5007,11900.5,530330119005007,ACC,1287905.6,188973.02,210583,DV0055949,6122958-CN,#001a73,-122.2597537,47.50910954,8/9/2008 12:00:00 AM,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330119011009,11901.1009,11901.1,1,2007_1,2,2008_2,N,5/8/2008 12:00:00 AM,Building Final,1287905.59995781,188973.020145386
93,1028 E SHELBY ST,6004,6745984,,Permit Finaled,Construction Permit,1,0,1,0,50000,ADU,"Accessory Dwelling, Attached","Construct alterations to create attached accessory dwelling unit (AADU), per plan.",9/29/2019 12:00:00 AM,11/20/2019 12:00:00 AM,2019,4/22/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,7.1,Montlake/Portage Bay,Northeast,3,6100.1022,6100.1,530330061001022,ACC,1274427.257,239568.33,100712,DV0010535,6745984-CN,#001a73,-122.31822922,47.64709241,5/20/2021 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330061001023,6100.1023,6100.1,4,2019_4,2,2021_2,N,4/22/2021 12:00:00 AM,Building Final,1274427.2571639,239568.330043808
102,10303 12TH AVE NW,6848,6788591,,Permit Finaled,Construction Permit,1,0,1,0,286487,ADU,"Accessory Dwelling, Attached","Construct single-family residence with attached accessory dwelling unit [AADU], per plan. Existing single-family residence to be converted to detached accessory dwelling unit [DADU].",7/7/2020 12:00:00 AM,10/5/2020 12:00:00 AM,2020,4/30/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1400.4006,1400.4,530330014004006,ACC,1261656.912,260401.537,39876,DV0020591,6788591-CN,#001a73,-122.37171657,47.70350766,4/5/2022 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330014004007,1400.4007,1400.4,4,2020_4,2,2021_2,Y,4/30/2021 12:00:00 AM,Building Final,1261656.91196972,260401.53706497
105,10303 14TH AVE NW,8748,6137916,,Permit Finaled,Construction Permit,1,0,1,0,246111,ADU,"Accessory Dwelling, Attached","Construct 1st floor and basement addition.  Establish ADU in basement of existing one family dwelling, per plan.",6/29/2007 12:00:00 AM,8/15/2007 12:00:00 AM,2007,10/31/2008 12:00:00 AM,2008,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,10.1,North Beach/Blue Ridge,Ballard,5,1600.1013,1600.1,530330016001013,ACC,1261008.826,260433.105,39866,DV0071940,6137916-CN,#001a73,-122.37435069,47.70355864,2/15/2009 12:00:00 AM,SINGLE FAMILY 7200,SF 7200,SF 7200,SF 7200,SF,,530330016001016,1600.1016,1600.1,3,2007_3,4,2008_4,N,10/31/2008 12:00:00 AM,Building Final,1261008.82599556,260433.104915217
107,10317 8TH AVE NE,5583,6710787,,Permit Finaled,Construction Permit,1,0,1,0,353538,ADU,"Accessory Dwelling, Attached","Construct addition and substantial alterations to existing single family residence and create ADU in basement, per plan.",2/28/2019 12:00:00 AM,6/5/2019 12:00:00 AM,2019,6/3/2020 12:00:00 AM,2020,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,1200.2002,1200.2,530330012002002,ACC,1274200.838,260221.272,42766,DV0034327,6710787-CN,#001a73,-122.32076697,47.70368958,12/5/2020 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330012023002,1202.3002,1202.3,2,2019_2,2,2020_2,N,6/3/2020 12:00:00 AM,Building Final,1274200.83799732,260221.272005543
111,10329 WALLINGFORD AVE N,9239,6361924,,Permit Finaled,Construction Permit,1,0,1,0,10000,ADU,"Accessory Dwelling, Attached","Establish accessory dwelling unit in basement of existing single-family residence, per plan.",12/14/2017 12:00:00 AM,7/1/2019 12:00:00 AM,2019,8/14/2019 12:00:00 AM,2019,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,9.2,Licton Springs,Northwest,5,1300.1009,1300.1,530330013001009,ACC,1270449.375,260456.3125,42097,DV0085053,6361924-CN,#001a73,-122.33601867,47.70413403,1/1/2021 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330013001008,1300.1008,1300.1,3,2019_3,3,2019_3,N,8/14/2019 12:00:00 AM,Building Final,1270449.37502781,260456.31254597
114,10342 WALLINGFORD AVE N,8313,6827639,,Permit Finaled,Construction Permit,1,0,1,0,248915,ADU,"Accessory Dwelling, Attached","Construct east single family residence, per plans. (Establish use as and construct three single-family residences, two with an attached accessory dwelling unit and one with two attached accessory dwelling units, per plans. Reviews and processing for 3 CN'",3/10/2021 12:00:00 AM,9/13/2022 12:00:00 AM,2022,10/16/2023 12:00:00 AM,2023,301,Northgate,Urban Center,Northgate,Urban Centers,9.2,Licton Springs,Northwest,5,1300.1010,1300.1,530330013001010,ACC,1270709.2597,260600.5827,756634,DV0346299,6827639-CN,#001a73,-122.33497481,47.70454337,3/13/2024 12:00:00 AM,"LR3 (M), RSL (M)",LR3 (M),MULTIPLE ZONE,LR3,L,6801490-CN,530330013001009,1300.1009,1300.1,3,2022_3,4,2023_4,Y,10/16/2023 12:00:00 AM,Building Final,1270709.25967865,260600.582598627
118,10344 WALLINGFORD AVE N,8313,6827638,,Permit Finaled,Construction Permit,1,0,1,0,248915,ADU,"Accessory Dwelling, Attached","Construct middle single-family residence, per plans. (Establish use as and construct three single-family residences, two with an attached accessory dwelling unit and one with two attached accessory dwelling units, per plans. Reviews and processing for 3 C",3/10/2021 12:00:00 AM,9/13/2022 12:00:00 AM,2022,10/16/2023 12:00:00 AM,2023,301,Northgate,Urban Center,Northgate,Urban Centers,9.2,Licton Springs,Northwest,5,1300.1010,1300.1,530330013001010,ACC,1270671.0195,260600.9477,42055,DV0346299,6827638-CN,#001a73,-122.33513012,47.70454233,3/13/2024 12:00:00 AM,"LR3 (M), RSL (M)",LR3 (M),MULTIPLE ZONE,LR3,L,6801490-CN,530330013001009,1300.1009,1300.1,3,2022_3,4,2023_4,Y,10/16/2023 12:00:00 AM,Building Final,1270671.01959765,260600.947755381
121,10346 WALLINGFORD AVE N,8313,6801490,3037096,Permit Finaled,Construction Permit,1,0,1,0,373373,ADU,"Accessory Dwelling, Attached","Construct west townhouse structure, per plans. (Establish use as and construct three single-family residences, two with an attached accessory dwelling unit and one with two attached accessory dwelling units, per plans. Reviews and processing for 3 CN's un",3/10/2021 12:00:00 AM,9/14/2022 12:00:00 AM,2022,10/16/2023 12:00:00 AM,2023,301,Northgate,Urban Center,Northgate,Urban Centers,9.2,Licton Springs,Northwest,5,1300.1010,1300.1,530330013001010,ACC,1270623.8531,260601.6715,756633,DV0346299,6801490-CN,#001a73,-122.3353217,47.70454179,3/14/2024 12:00:00 AM,"LR3 (M), RSL (M)",LR3 (M),MULTIPLE ZONE,LR3,L,,530330013001009,1300.1009,1300.1,3,2022_3,4,2023_4,Y,10/16/2023 12:00:00 AM,Building Final,1270623.85302532,260601.671507224
123,10348 WALLINGFORD AVE N,8120,6814825,3037096,Permit Finaled,Construction Permit,1,0,1,0,373373,ADU,"Accessory Dwelling, Attached","Construct east townhouse structure, per plans (Establish use as and construct three single-family residences, two with an attached accessory dwelling unit and one with two attached accessory dwelling units, per plans. Reviews and processing for 3 CN's und",3/10/2021 12:00:00 AM,9/14/2022 12:00:00 AM,2022,10/16/2023 12:00:00 AM,2023,301,Northgate,Urban Center,Northgate,Urban Centers,9.2,Licton Springs,Northwest,5,1300.1010,1300.1,530330013001010,ACC,1270724.0526,260640.6489,42046,DV0346298,6814825-CN,#001a73,-122.33491792,47.70465398,3/14/2024 12:00:00 AM,"LR3 (M), RSL (M)",LR3 (M),MULTIPLE ZONE,LR3,L,,530330013001009,1300.1009,1300.1,3,2022_3,4,2023_4,Y,10/16/2023 12:00:00 AM,Building Final,1270724.05262806,260640.648791462
124,1035 NE 100TH ST,5104,6818268,3037544,Permit Finaled,Construction Permit,2,0,2,0,300000,ADU,"Accessory Dwelling, Attached","Construct substantial alterations and two attached accessory dwelling units (AADU's) to existing single family residence, per plan.",3/2/2021 12:00:00 AM,1/18/2022 12:00:00 AM,2022,2/8/2023 12:00:00 AM,2023,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,2000.2003,2000.2,530330020002003,ACC,1275266.797,259241.934,43055,DV1118149,6818268-CN,#001a73,-122.31636191,47.70106164,7/18/2023 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020002006,2000.2006,2000.2,1,2022_1,1,2023_1,Y,2/8/2023 12:00:00 AM,Building Final,1275266.79715148,259241.934069216
125,1035 NE 92ND ST,7574,6784259,,Permit Finaled,Construction Permit,1,0,1,0,27432,ADU,"Accessory Dwelling, Attached","Construct alterations to create attached accessory dwelling unit [AADU], per plan.",7/1/2020 12:00:00 AM,9/18/2020 12:00:00 AM,2020,9/22/2021 12:00:00 AM,2021,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.1,Northgate/Maple Leaf,North,5,2000.3003,2000.3,530330020003003,ACC,1275294.652,257271.027,51074,DV1186063,6784259-CN,#001a73,-122.3160946,47.69566091,3/18/2022 12:00:00 AM,SF 5000,SF 5000,SF 5000,SF 5000,SF,,530330020003003,2000.3003,2000.3,3,2020_3,3,2021_3,N,12/17/2020 12:00:00 AM,Insulation,1275294.65208264,257271.026921794
128,11039 40TH AVE NE,9490,6094308,,Permit Finaled,Construction Permit,1,0,1,0,49194,ADU,"Accessory Dwelling, Attached","CONST BSMT ADDTN W/ ROOF DECK AND EXT CANOPY FOR CONVERT BSMT TO ACCESSORY DWELLING UNIT, PER PLANS",8/30/2004 12:00:00 AM,10/19/2004 12:00:00 AM,2004,4/25/2006 12:00:00 AM,2006,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,North,5,800.2008,800.2,530330008002008,ACC,1282853.28,262167.116,38259,DV0027470,6094308-CN,#001a73,-122.28578187,47.70947615,10/19/2007 12:00:00 AM,SF 7200,SF 7200,SF 7200,SF 7200,SF,,530330008002015,800.2015,800.2,4,2004_4,2,2006_2,N,,,1282853.28000997,262167.115882888
133,106 NW 42ND ST,3314,6217002,,Permit Finaled,Construction Permit,1,0,1,0,267539,ADU,"Accessory Dwelling, Attached",Construct addition to and alter existing single family dwelling and establish new accessory dwelling unit per plan.,9/15/2009 12:00:00 AM,1/12/2010 12:00:00 AM,2010,2/13/2017 12:00:00 AM,2017,0,Outside Villages,Outside Villages,Outside Villages,Outside Villages,11.1,Fremont,Lake Union,6,4800.2017,4800.2,530330048002017,ACC,1264761.672,243679.521,89321,DV0023024,6217002-CN,#001a73,-122.3577644,47.65784297,6/6/2017 12:00:00 AM,SINGLE FAMILY 5000,SF 5000,SF 5000,SF 5000,SF,,530330048002014,4800.2014,4800.2,1,2010_1,1,2017_1,N,2/13/2017 12:00:00 AM,Building Final,1264761.67183632,243679.520968378
